Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by	PreyGeneID	ctrlIntensitySum	AvgctrlIntensity
MEPCE	gi|50726968|gn|MFAP1:4236|	MFAP1	0.523	0.523	0.523	1	0.337	.	.	.	.	.	-0.481	0.000		4236	0.337	0.337
MEPCE	gi|4507131|gn|SNRPF:6636|	SNRPF	0.619	0.619	0.619	1	0.801	.	.	.	.	.	-2.789	0.000		6636	0.801	0.801
MEPCE	gi|5803181|gn|STIP1:10963|	STIP1	1.936	1.936	1.936	1	2.053	.	.	.	.	.	2.692	0.000		10963	2.053	2.053
MEPCE	P12763	AHSG	0.884	0.884	0.884	1	.	.	.	.	.	.	-0.323	0.000		280988	0	0
MEPCE	gi|27262628|gn|NASP:4678|	NASP	1.237	1.237	1.237	1	0.977	.	.	.	.	.	-53.493	0.000		4678	0.977	0.977
MEPCE	gi|16753227|gn|RPL6:6128|	RPL6	1.337	1.337	1.337	1	0.294	.	.	.	.	.	-1.091	0.000		6128	0.294	0.294
MEPCE	gi|4885281|gn|GLUD1:2746|	GLUD1	0.612	0.612	0.612	1	0.437	.	.	.	.	.	-0.739	0.000		2746	0.437	0.437
MEPCE	gi|17986258|gn|MYL6:4637|	MYL6	2.423	2.423	2.423	1	3.147	.	.	.	.	.	2.114	0.000		4637	3.147	3.147
MEPCE	gi|7656879|gn|AFF4:27125|	AFF4	0.206	0.206	0.206	1	.	.	.	.	.	.	-0.075	0.000		27125	0	0
MEPCE	gi|68160937|gn|TRIM25:7706|	TRIM25	0.316	0.316	0.316	1	.	.	.	.	.	.	-0.116	0.000		7706	0	0
MEPCE	gi|24234747|gn|ILF2:3608|	ILF2	0.909	0.909	0.909	1	0.973	.	.	.	.	.	-33.180	0.000		3608	0.973	0.973
MEPCE	gi|157649073|gn|CAP1:10487|	CAP1	0.516	0.516	0.516	1	0.680	.	.	.	.	.	-1.338	0.000		10487	0.68	0.68
MEPCE	gi|13904866|gn|RPL28:6158|	RPL28	1.812	1.812	1.812	1	.	.	.	.	.	.	-0.662	0.000		6158	0	0
MEPCE	gi|224451142|gn|STMN1:3925|	STMN1	0.845	0.845	0.845	1	1.056	.	.	.	.	.	15.578	0.000		3925	1.056	1.056
MEPCE	gi|38455427|gn|CCT4:10575|	CCT4	1.377	1.377	1.377	1	1.259	.	.	.	.	.	5.984	0.000		10575	1.259	1.259
MEPCE	gi|41327771|gn|DDX23:9416|	DDX23	1.057	1.057	1.057	1	0.268	.	.	.	.	.	-0.803	0.000		9416	0.268	0.268
MEPCE	gi|134152708|gn|ARGLU1:55082|	ARGLU1	1.558	1.558	1.558	1	1.782	.	.	.	.	.	2.696	0.000		55082	1.782	1.782
MEPCE	gi|23110944|gn|PSMA6:5687|	PSMA6	1.137	1.137	1.137	1	1.113	.	.	.	.	.	10.647	0.000		5687	1.113	1.113
MEPCE	gi|310923127|gn|NME2:4831|	NME2	1.051	1.051	1.051	1	.	.	.	.	.	.	-0.384	0.000		4831	0	0
MEPCE	gi|5901998|gn|LSM6:11157|	LSM6	2.634	2.634	2.634	1	.	.	.	.	.	.	-0.963	0.000		11157	0	0
MEPCE	gi|5292161|gn|PSMD4:5710|	PSMD4	0.521	0.521	0.521	1	0.831	.	.	.	.	.	-2.812	0.000		5710	0.831	0.831
MEPCE	gi|25777612|gn|PSMD3:5709|	PSMD3	0.470	0.470	0.470	1	0.893	.	.	.	.	.	-4.153	0.000		5709	0.893	0.893
MEPCE	gi|24497601|gn|EDF1:8721|	EDF1	1.442	1.442	1.442	1	1.304	.	.	.	.	.	5.432	0.000		8721	1.304	1.304
MEPCE	gi|24797086|gn|IPO5:3843|	IPO5	0.231	0.231	0.231	1	0.222	.	.	.	.	.	-0.153	0.000		3843	0.222	0.222
MEPCE	gi|109240550|gn|PSPC1:55269|	PSPC1	0.255	0.255	0.255	1	0.311	.	.	.	.	.	-0.218	0.000		55269	0.311	0.311
MEPCE	gi|6912486|gn|LSM4:25804|	LSM4	1.352	1.352	1.352	1	.	.	.	.	.	.	-0.494	0.000		25804	0	0
MEPCE	gi|6005860|gn|RPL35:11224|	RPL35	2.647	2.647	2.647	1	2.476	.	.	.	.	.	2.919	0.000		11224	2.476	2.476
MEPCE	gi|122114654|gn|METTL16:79066|	METTL16	2.223	2.223	2.223	1	.	.	.	.	.	.	-0.812	0.000		79066	0	0
MEPCE	gi|10835067|gn|SSB:6741|	SSB	4.851	4.851	4.851	1	0.904	.	.	.	.	.	-48.257	0.000		6741	0.904	0.904
MEPCE	gi|42718020|gn|RP9:6100|	RP9	0.726	0.726	0.726	1	.	.	.	.	.	.	-0.265	0.000		6100	0	0
MEPCE	gi|4507951|gn|YWHAH:7533|	YWHAH	2.141	2.141	2.141	1	2.456	.	.	.	.	.	2.383	0.000		7533	2.456	2.456
MEPCE	gi|4502643|gn|CCT6A:908|	CCT6A	1.073	1.073	1.073	1	1.267	.	.	.	.	.	4.532	0.000		908	1.267	1.267
MEPCE	gi|4758638|gn|PRDX6:9588|	PRDX6	0.326	0.326	0.326	1	0.536	.	.	.	.	.	-0.522	0.000		9588	0.536	0.536
MEPCE	gi|23308577|gn|PHGDH:26227|	PHGDH	1.492	1.492	1.492	1	1.879	.	.	.	.	.	2.365	0.000		26227	1.879	1.879
MEPCE	gi|21328448|gn|YWHAB:7529|	YWHAB	2.461	2.461	2.461	1	2.850	.	.	.	.	.	2.349	0.000		7529	2.85	2.85
MEPCE	gi|10337595|gn|PPM1A:5494|	PPM1A	1.387	1.387	1.387	1	1.384	.	.	.	.	.	4.270	0.000		5494	1.384	1.384
MEPCE	gi|34098946|gn|YBX1:4904|	YBX1	2.960	2.960	2.960	1	3.165	.	.	.	.	.	2.569	0.000		4904	3.165	3.165
MEPCE	gi|21626466|gn|MATR3:9782|	MATR3	0.189	0.189	0.189	1	1.279	.	.	.	.	.	0.769	0.000		9782	1.279	1.279
MEPCE	gi|24430155|gn|PSMC4:5704|	PSMC4	0.844	0.844	0.844	1	1.415	.	.	.	.	.	2.432	0.000		5704	1.415	1.415
MEPCE	gi|4506623|gn|RPL27:6155|	RPL27	1.606	1.606	1.606	1	.	.	.	.	.	.	-0.587	0.000		6155	0	0
MEPCE	gi|4759034|gn|ETF1:2107|	ETF1	0.305	0.305	0.305	1	0.279	.	.	.	.	.	-0.239	0.000		2107	0.279	0.279
